str_VAR_NAMES,ENGLISH,FRENCH,GERMAN,ITALIAN,SPANISH
str_ADELAIDE,ADELAIDE,FRA,DEU,ADELAIDE,ESP
str_ALMATY,ALMATY,FRA,DEU,ALMATY,ESP
str_AUCKLAND,AUCKLAND,FRA,DEU,AUCKLAND,ESP
str_BANGKOK,BANGKOK,FRA,DEU,BANGKOK,ESP
str_BOMBAY,BOMBAY,FRA,DEU,BOMBAY,ESP
str_BRASILIA,BRASILIA,FRA,DEU,BRASILIA,ESP
str_BRISBANE,BRISBANE,FRA,DEU,BRISBANE,ESP
str_CAIRO,CAIRO,FRA,DEU,CAIRO,ESP
str_CAPE_TOWN,CAPE TOWN,FRA,DEU,CAPE TOWN,ESP
str_CAPE_VERDE,CAPE VERDE,FRA,DEU,CAPE VERDE,ESP
str_CHITA,CHITA,FRA,DEU,CHITA,ESP
str_DARWIN,DARWIN,FRA,DEU,DARWIN,ESP
str_EKATERINBURG,EKATERINBURG,FRA,DEU,EKATERINBURG,ESP
str_EU_CENTRAL,EU-CENTRAL,FRA,DEU,EU-CENTRAL,ESP
str_EU_EASTERN,EU-EASTERN,FRA,DEU,EU-EASTERN,ESP
str_EU_WESTERN,EU-WESTERN,FRA,DEU,EU-WESTERN,ESP
str_FIJI,FIJI,FRA,DEU,FIJI,ESP
str_HONG_KONG,HONG KONG,FRA,DEU,HONG KONG,ESP
str_ICELAND,ICELAND,FRA,DEU,ICELAND,ESP
str_ISLAMABAD,ISLAMABAD,FRA,DEU,ISLAMABAD,ESP
str_JAKARTA,JAKARTA,FRA,DEU,JAKARTA,ESP
str_KABUL,KABUL,FRA,DEU,KABUL,ESP
str_KALININGRAD,KALININGRAD,FRA,DEU,KALININGRAD,ESP
str_KATHMANDU,KATHMANDU,FRA,DEU,KATHMANDU,ESP
str_KRASNOYARSK,KRASNOYARSK,FRA,DEU,KRASNOYARSK,ESP
str_LAGOS,LAGOS,FRA,DEU,LAGOS,ESP
str_MAGADAN,MAGADAN,FRA,DEU,MAGADAN,ESP
str_MEX_CENTRAL,MEX-CENTRAL,FRA,DEU,MEX-CENTRAL,ESP
str_MEX_MOUNTAIN,MEX-MOUNTAIN,FRA,DEU,MEX-MOUNTAIN,ESP
str_MEX_PACIFIC,MEX-PACIFIC,FRA,DEU,MEX-PACIFIC,ESP
str_MOSCOW,MOSCOW,FRA,DEU,MOSCOW,ESP
str_MUSCAT,MUSCAT,FRA,DEU,MUSCAT,ESP
str_NEWFOUNDLAND,NEWFOUNDLAND,FRA,DEU,NEWFOUNDLAND,ESP
str_NOVOSIBIRSK,NOVOSIBIRSK,FRA,DEU,NOVOSIBIRSK,ESP
str_PERTH,PERTH,FRA,DEU,PERTH,ESP
str_PETROPAVLOVSK,PETROPAVLOVSK,FRA,DEU,PETROPAVLOVSK,ESP
str_RIYADH,RIYADH,FRA,DEU,RIYADH,ESP
str_SAMARA,SAMARA,FRA,DEU,SAMARA,ESP
str_SAMOA,SAMOA,FRA,DEU,SAMOA,ESP
str_SYDNEY,SYDNEY,FRA,DEU,SYDNEY,ESP
str_TASMANIA,TASMANIA,FRA,DEU,TASMANIA,ESP
str_TEHRAN,TEHRAN,FRA,DEU,TEHRAN,ESP
str_TOKYO,TOKYO,FRA,DEU,TOKYO,ESP
str_US_ALASKA,US-ALASKA,FRA,DEU,US-ALASKA,ESP
str_US_ARIZONA,US-ARIZONA,FRA,DEU,US-ARIZONA,ESP
str_US_ATLANTIC,US-ATLANTIC,FRA,DEU,US-ATLANTIC,ESP
str_US_CENTRAL,US-CENTRAL,FRA,DEU,US-CENTRAL,ESP
str_US_EASTERN,US-EASTERN,FRA,DEU,US-EASTERN,ESP
str_US_HAWAII,US-HAWAII,FRA,DEU,US-HAWAII,ESP
str_US_MOUNTAIN,US-MOUNTAIN,FRA,DEU,US-MOUNTAIN,ESP
str_US_PACIFIC,US-PACIFIC,FRA,DEU,US-PACIFIC,ESP
str_VLADIVOSTOK,VLADIVOSTOK,FRA,DEU,VLADIVOSTOK,ESP
str_WINDHOEK,WINDHOEK,FRA,DEU,WINDHOEK,ESP
str_SENSOR_OUTPUT,SENSOR OUTPUT,FRA,DEU,ITA,ESP
str_PRESSURE,PRESSURE:,FRA,DEU,ITA,ESP
str_DEPTH,DEPTH:,FRA,DEU,ITA,ESP
str_EYE,EYE:,FRA,DEU,ITA,ESP
str_ROS_1,ROS 1:,FRA,DEU,ROS 1:,ESP
str_ROS_2,ROS 2:,FRA,DEU,ROS 2:,ESP
str_TILT,TILT,FRA,DEU,ITA,ESP
